Index,Index1,Comments
831,18898,No Need For Lying !
832,18927,you&#39;re a hero
833,18938,"es hermosa
"
834,18965,IM IN LOVE WITH YOUR EYES
835,18980,Gorgeous
836,19016,You&#39;re so brave!!
837,19031,Ur SOOOO brave
838,19038,wow youre great
839,19057,Linda
840,19116,good video
841,19135,i love ur eyebrows &lt;3
842,19212,Bravo!
843,19219,Natural Beauty
844,19225,Troll. 
845,19277,ur gorgeous :)
846,19293,"THAT IS U NADIA CH Y U BEING SO MEAN
"
847,19296,PEOPLE WHO SAID TAT ARE GOING TO HAVE ANCE ONCE IN A LIFE TIME BITCH WHO KEEP MESSING AROUND HER AND U GUYS ARE NT PRETTIER THAN HER SO THIS IT TO BITCHES WHO MEAN
848,19302,I just love you! 
849,19340,i love your eyes 
850,19352,&lt;3
851,19386,Way cakey.
852,19394,your gorgeous &lt;3 
853,19403,CHECK OUT MY CHANNEL IF YOU HAVE THE CHANCE!!!! =)
854,19465,YOU&#39;RE THE BOMB DOT COM &lt;3
855,19468,ROACUTAN!
856,19472,OMG. I FEEL YOUR PAIN ONLY THAT I WALK ABOUT WITH THAT PIMPLESSSS. OMG.
857,19474,"So magic:)
"
858,19483,great
859,19496,You&#39;re a hero
860,19503,I love you
861,19517,gtfo :-)
862,19521,Respect
863,19551,You
864,19568,omg
865,19576,flawless!
866,19596,You*
867,19635,Demodex?
868,19655,"&lt;3!
"
869,19663,same
870,19682,shoon
871,19687,respect for you !
